id	DSS	day	bwc	vwr
SvBi118	0	7	102.8	116
SvBi118	0	8	102.3	85.1
SvBi118	0	9	102.8	89.2
SvBi118	0	10	102.8	104.1
SvBi118	0	11	102.8	126.3
SvBi118	0	12	102.3	88.5
SvBi118	0	13	104.2	88
SvBi126	0	0	100	78.4
SvBi126	0	1	98.6	87
SvBi126	0	2	100.9	79
SvBi126	0	3	98.1	86.8
SvBi126	0	4	97.6	92
SvBi126	0	5	100.5	87.2
SvBi126	0	6	98.1	66.7
SvBi126	0	7	100	79.1
SvBi126	0	8	101.9	89.3
SvBi126	0	9	101.9	100.7
SvBi126	0	10	101.4	85.6
SvBi126	0	11	101.9	74.3
SvBi126	0	12	102.8	83.6
SvBi126	0	13	102.8	94.5
SvBi127	0	0	100	59
SvBi127	0	1	95.1	77.3
SvBi127	0	2	99.5	90.1
SvBi127	0	3	100	98.4
SvBi127	0	4	99.5	107.7
SvBi127	0	5	100	99.7
SvBi127	0	6	96.6	92.2
SvBi127	0	7	99.5	86.8
SvBi127	0	8	100	85.9
SvBi127	0	9	98.5	82.4
SvBi127	0	10	100.5	91.6
SvBi127	0	11	101.5	95.8
SvBi127	0	12	101.5	93.7
SvBi127	0	13	100.5	83.8
SvBi128	0	0	100	91
SvBi128	0	1	98.1	69
SvBi128	0	2	98.6	68.7
SvBi128	0	3	100.9	75.4
SvBi128	0	4	100.9	80.4
SvBi128	0	5	102.3	59.4
SvBi128	0	6	99.1	56.9
SvBi128	0	7	102.3	47.4
SvBi128	0	8	106.1	48.7
SvBi128	0	9	102.3	67.8
SvBi128	0	10	102.8	111.3
SvBi128	0	11	102.3	123.7
SvBi128	0	12	100.9	105.7
SvBi128	0	13	99.1	95.3
SvBi129	0	0	100	96.1
SvBi129	0	1	97.8	102.5
SvBi129	0	2	98.7	98.5
SvBi129	0	3	97.4	97.8
SvBi129	0	4	96.9	102.3
SvBi129	0	5	96.5	81.4
SvBi129	0	6	94.7	93.5
SvBi129	0	7	96.5	76.9
SvBi129	0	8	83.8	77.7
SvBi129	0	9	98.7	77.6
SvBi129	0	10	103.1	82.1
SvBi129	0	11	104.8	83.9
SvBi129	0	12	102.6	89.3
SvBi129	0	13	101.3	81
SvBi130	0	0	100	82.5
SvBi130	0	1	100.5	91.3
SvBi130	0	2	103.4	88.1
SvBi130	0	3	103.9	100.3
SvBi130	0	4	101.5	97.6
SvBi130	0	5	101.5	88.2
SvBi130	0	6	102.5	86.6
SvBi130	0	7	102	96.6
SvBi130	0	8	104.9	98.2
SvBi130	0	9	104.9	79.6
SvBi130	0	10	103.9	74
SvBi130	0	11	105.4	83.5
SvBi130	0	12	105.9	100.7
SvBi130	0	13	104.4	76.4
SvBi131	1	0	100	53.9
SvBi131	1	1	102.2	88.2
SvBi131	1	2	102.2	88.5
SvBi131	1	3	103	105.7
SvBi131	1	4	101.3	75.2
SvBi131	1	5	101.3	59.3
SvBi131	1	6	103.9	69.1
SvBi131	1	7	101.7	56.7
SvBi131	1	8	104.3	56.2
SvBi131	1	9	103.5	62.5
SvBi131	1	10	102.6	50.4
SvBi131	1	11	103.5	60.9
SvBi131	1	12	104.8	105.2
SvBi131	1	13	106.1	125.7
SvBi132	0	0	100	72.6
SvBi132	0	1	98.6	95.8
SvBi132	0	2	100.5	91.9
SvBi132	0	3	102.7	93
SvBi132	0	4	99.5	90.8
SvBi132	0	5	100.9	91.5
SvBi132	0	6	97.7	96.9
SvBi132	0	7	98.6	103.5
SvBi132	0	8	94.1	110.7
SvBi132	0	9	92.7	94.8
SvBi132	0	10	92.7	84.8
SvBi132	0	11	99.5	88.8
SvBi132	0	12	95.9	86.5
SvBi132	0	13	98.2	86.6
SvBi133	1	0	100	99.8
SvBi133	1	1	102	107.6
SvBi133	1	2	99.5	107.1
SvBi133	1	3	101	97.2
SvBi133	1	4	101	85.8
SvBi133	1	5	100	74.9
SvBi133	1	6	99	78.1
SvBi133	1	7	97.4	98.7
SvBi133	1	8	105.1	114.3
SvBi133	1	9	99	79.2
SvBi133	1	10	102	82.3
SvBi133	1	11	101.5	96.3
SvBi133	1	12	102	105.9
SvBi133	1	13	101	126.1
SvBi134	0	0	100	63.8
SvBi134	0	1	99.1	70.1
SvBi134	0	2	99.5	79.4
SvBi134	0	3	100.9	89.3
SvBi134	0	4	98.1	51.5
SvBi134	0	5	100.5	53
SvBi134	0	6	100	74.1
SvBi134	0	7	100.9	109.7
SvBi134	0	8	103.3	106.5
SvBi134	0	9	98.6	84.8
SvBi134	0	10	97.7	85.7
SvBi134	0	11	101.9	96.7
SvBi134	0	12	103.7	112.9
SvBi134	0	13	103.3	117
SvBi135	1	0	100	73.6
SvBi135	1	1	101.5	94.9
SvBi135	1	2	100.5	98.7
SvBi135	1	3	104.4	96.4
SvBi135	1	4	98.5	48.3
SvBi135	1	5	98.5	33.2
SvBi135	1	6	94.6	40.9
SvBi135	1	7	90.2	39
SvBi135	1	8	92.6	55.5
SvBi135	1	9	99.5	66.5
SvBi135	1	10	101	94.4
SvBi135	1	11	105.9	121.8
SvBi135	1	12	102.5	82.2
SvBi135	1	13	104.4	83.6
SvBi136	0	0	100	37.5
SvBi136	0	1	102.5	101.4
SvBi136	0	2	102.5	121.8
SvBi136	0	3	101.5	75.8
SvBi136	0	4	99	56.4
SvBi136	0	5	101.5	44.4
SvBi136	0	6	102.5	89.2
SvBi136	0	7	105	97.5
SvBi136	0	8	103	62.4
SvBi136	0	9	102	65.7
SvBi136	0	10	102.5	72.6
SvBi136	0	11	104.5	76.4
SvBi136	0	12	107	89
SvBi136	0	13	105.5	68.7
SvBi137	0	0	100	74.7
SvBi137	0	1	97.4	82.8
SvBi137	0	2	96.9	83
SvBi137	0	3	98.2	75.6
SvBi137	0	4	97.4	78
SvBi137	0	5	101.3	69.9
SvBi137	0	6	98.2	106.4
SvBi137	0	7	100.9	103.3
SvBi137	0	8	100.9	112.7
SvBi137	0	9	98.2	73.3
SvBi137	0	10	97.8	65.2
SvBi137	0	11	100.9	71.7
SvBi137	0	12	101.8	69.6
SvBi137	0	13	98.7	75.2
SvBi138	0	0	100	108.2
SvBi138	0	1	103	125.7
SvBi138	0	2	103	119.6
SvBi138	0	3	103	98.5
SvBi138	0	4	103.9	96
SvBi138	0	5	106.4	98.9
SvBi138	0	6	105.9	119.7
SvBi138	0	7	106.4	133.4
SvBi138	0	8	105.9	107.1
SvBi138	0	9	102	125.7
SvBi138	0	10	104.9	147.3
SvBi138	0	11	104.9	142.5
SvBi138	0	12	103	102.5
SvBi138	0	13	103.4	101.8
SvBi139	2	0	100	67.5
SvBi139	2	1	96.2	93.2
SvBi139	2	2	98.1	78.7
SvBi139	2	3	97.2	67.9
SvBi139	2	4	97.2	64.8
SvBi139	2	5	99.5	54.2
SvBi139	2	6	91.5	34.1
SvBi139	2	7	87.3	19.8
SvBi139	2	8	84.4	24.8
SvBi139	2	9	89.6	39.3
SvBi139	2	10	95.3	49.5
SvBi139	2	11	100	64.8
SvBi139	2	12	101.9	71.6
SvBi139	2	13	100	93.8
SvBi140	2	0	100	60
SvBi140	2	1	99	83.4
SvBi140	2	2	101	74.4
